School,ID,Indiana_Public_College,Indiana_Private_College_np,Indiana_Private_College_fp,Out_of_State_Public_College,Out_of_State_Private_College_(non-profit),Out_of_State_Private_College_(for-profit),Non_degree_Granting_School,Did_Not_Enroll_in_College,Year
21stCenturyCharterSchoolofGary,4164,21,0,0,1,1,0,0,10,2014
AcademyforInnovativeStudies,8270,15,0,1,1,0,0,0,52,2014
AchieveVirtualEducationAcademy,5288,7,1,1,0,1,0,0,13,2014
AdamsCentralHighSchool,0021,53,10,0,0,7,0,0,36,2014
AdamsHighSchool,7505,134,15,0,20,23,1,3,96,2014
AlexandriaMonroeHighSchool,5041,42,13,0,2,0,0,0,39,2014
AndersonChristianSchool,C250,***,***,***,***,***,***,***,***,2014
AndersonHighSchool,4945,151,17,5,9,6,0,0,183,2014
AndersonPreparatoryAcademy,5092,34,4,0,0,3,0,0,16,2014
AndreanHighSchool,B760,86,25,0,9,13,1,0,9,2014
AngolaHighSchool,7893,56,27,1,5,9,2,0,95,2014
ArgosCommJrSrHighSchool,5937,33,6,0,1,1,0,0,17,2014
ArlingtonCommunityHighSchool,5465,***,***,***,***,***,***,***,14,2014
ArsenalTechnicalHighSchool,5469,152,13,2,12,2,0,1,136,2014
AtticaHighSchool,2053,33,2,0,5,1,0,0,17,2014
AustinHighSchool,7629,34,2,0,3,2,0,0,38,2014
AvonHighSchool,2737,382,46,1,26,31,3,0,149,2014
BarrReeveMiddleHighSchool,1069,45,0,0,1,1,0,0,12,2014
BatesvilleHighSchool,7217,67,15,0,9,10,0,0,67,2014
BeaconAcademy,8411,***,***,***,***,***,***,***,***,2014
BedfordNorthLawrenceHighSchool,4911,186,20,0,5,11,0,0,100,2014
BeechGroveSrHighSchool,5449,55,17,2,5,2,1,0,82,2014
BellmontSeniorHighSchool,0029,78,16,1,7,5,0,0,66,2014
BenDavisHighSchool,5213,329,57,7,23,21,3,2,382,2014
BenDavisUniversityHighSchool,5447,44,16,1,2,4,0,0,40,2014
BenjaminBosseHighSchool,8237,76,9,1,16,1,1,0,52,2014
BentonCentralJrSrHighSchool,0445,61,10,1,3,4,1,0,44,2014
BethanyChristianSch,B015,1,9,0,1,10,0,0,14,2014
BethesdaChristianSchool,B290,9,3,0,0,2,0,0,8,2014
BishopChatardHighSchool,C705,99,21,0,11,14,0,0,10,2014
BishopDwengerHighSchool,A120,136,40,0,6,23,1,0,31,2014
BishopLuersHighSchool,A125,58,26,0,5,11,0,0,13,2014
BishopNollInstitute,B970,53,14,0,17,13,0,0,11,2014
BlackfordHighSchool,0489,63,9,0,4,1,0,0,46,2014
BlackhawkChristianMdlHighSch,A170,23,22,0,1,3,0,0,18,2014
BloomfieldJrSrHighSchool,2419,43,1,0,2,1,0,0,18,2014
BloomingtonGraduationSchool,6220,***,***,***,***,***,***,***,10,2014
BloomingtonHighSchoolNorth,6168,192,18,0,14,25,0,0,72,2014
BloomingtonHighSchoolSouth,6166,241,28,0,15,23,0,0,91,2014
BlueRiverValleyJrSrHighSchool,2801,18,3,0,0,0,0,0,17,2014
BlufftonHighSchool,9089,33,7,0,2,0,1,0,49,2014
BookerTWashingtonAltSch,8611,***,***,***,***,***,***,***,8,2014
BooneGroveHighSchool,6838,62,10,0,7,5,0,0,43,2014
BoonvilleHighSchool,8789,88,12,2,11,1,0,1,69,2014
BrebeufJesuitPreparatorySchool,C360,84,13,0,20,57,0,0,10,2014
BremenSeniorHighSchool,5941,54,18,0,2,5,0,1,35,2014
BroadRippleMagnetHighSchoolforPrfmArts,5477,65,9,1,2,5,0,0,14,2014
BrownCountyHighSchool,0573,78,7,3,4,2,0,0,68,2014
BrownsburgHighSchool,2709,322,46,2,16,28,3,0,121,2014
BrownstownCentralHighSchool,3126,67,10,0,1,2,0,0,39,2014
BurrisLaboratorySchool,1441,30,5,0,1,1,0,0,7,2014
CalumetChristianSchool,B815,***,***,***,***,***,***,***,***,2014
CalumetNewTechHighSchool,3869,37,6,0,4,2,1,1,99,2014
CalvaryChristianSchool,C580,***,***,***,***,***,***,***,***,2014
CanneltonElemHighSchool,6733,***,***,***,***,***,***,***,6,2014
CardinalRitterHighSchool,C715,79,12,0,4,11,1,0,19,2014
CareerAcademyHighSchool,7564,***,***,***,***,***,***,***,10,2014
CarmelHighSchool,2505,718,67,0,101,97,4,0,138,2014
CarrollHighSchool,0091,284,34,1,16,15,0,1,150,2014
CarrollSeniorHighSchool,0621,38,5,0,2,0,0,0,37,2014
CascadeSeniorHighSchool,2692,61,17,1,3,2,0,0,37,2014
CastleHighSchool,8809,234,27,2,58,15,1,1,106,2014
CastonJrSrHighSchool,2159,19,1,0,0,1,1,0,35,2014
CathedralHighSchool,C700,153,30,0,36,53,0,0,16,2014
CenterGroveHighSchool,3437,304,56,1,18,25,1,2,130,2014
CentervilleSrHighSchool,8981,64,4,0,1,7,0,1,34,2014
CentralCatholicJrSrHighSch,D415,37,12,0,5,3,0,0,1,2014
CentralChristianAcademy,C575,***,***,***,***,***,***,***,9,2014
CentralHighSchool,8241,150,16,2,17,2,1,3,77,2014
CentralNobleJuniorSeniorHS,6453,31,6,0,1,0,0,0,54,2014
CharlesATindleyAcceleratedSch,6208,14,7,0,2,5,0,0,1,2014
CharlestownSeniorHighSchool,0821,77,3,0,11,4,0,0,58,2014
ChestertonSeniorHighSchool,6925,265,29,0,25,26,1,0,139,2014
ChristelHouseAcademySouth,5874,8,7,0,0,0,0,0,6,2014
ChristelHouseDORSSouth,5532,***,***,***,***,***,***,***,11,2014
ChristianAcademyofIndiana,B045,18,4,0,7,2,0,0,4,2014
ChristianAcademyofMadison,B493,***,***,***,***,***,***,***,***,2014
ChurubuscoJrSrHighSchool,9193,30,13,0,1,1,0,0,49,2014
ClarksvilleSeniorHighSchool,0833,32,2,0,4,2,1,0,43,2014
ClayCityJrSrHighSchool,0897,31,3,0,0,0,0,0,21,2014
ClayHighSchool,7421,124,24,0,10,9,1,1,81,2014
ClintonCentralJuniorSeniorHighSchool,0957,40,1,0,2,3,0,0,38,2014
ClintonChristianSchool,A875,***,***,***,***,***,***,***,8,2014
ClintonPrairieJrSrHighSchool,0977,33,1,0,4,1,0,0,24,2014
CloverdaleHighSchool,7077,33,4,0,1,1,0,0,42,2014
ColonialChristianSchool,C495,***,***,***,***,***,***,***,4,2014
ColumbiaCityHighSchool,9187,102,45,0,3,6,0,0,100,2014
ColumbusChristianSchoolInc,A450,***,***,***,***,***,***,***,***,2014
ColumbusEastHighSchool,0399,184,30,1,13,17,1,1,99,2014
ColumbusNorthHighSchool,0397,213,22,3,16,16,1,0,160,2014
CommunityMontessori,1536,11,0,0,2,0,0,0,12,2014
CommunityYouthServices,9056,***,***,***,***,***,***,***,***,2014
ConcordCommunityHighSchool,1715,114,34,0,15,15,1,1,148,2014
ConcordiaLutheranHighSchool,A195,70,27,0,7,18,0,0,22,2014
ConnersvilleSrHighSchool,1889,118,22,0,3,4,3,0,82,2014
CorydonCentralHighSchool,2640,75,0,0,12,7,0,0,88,2014
CovenantChristianHighSchool,B469,3,9,0,1,9,0,0,5,2014
CovenantChristianHighSchool,C527,23,22,0,2,6,0,0,12,2014
CovingtonCommunityHighSchool,2005,18,1,0,13,0,0,0,24,2014
CowanHighSchool,1386,29,3,1,0,3,0,0,12,2014
CrawfordCountyJrSrHighSchool,1059,47,4,3,3,0,0,0,37,2014
CrawfordsvilleSrHighSchool,6277,45,24,0,4,7,0,0,76,2014
CrispusAttucksMedicalMagnetHighSchool,5473,50,4,0,3,4,0,0,16,2014
